"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
448,36,"BGR","Bulgaria",1,"Blagoevgrad","<U+0411><U+043B><U+0430><U+0433><U+043E><U+0435><U+0432><U+0433><U+0440><U+0430><U+0434>","Gorna Cumaya|Cuma-i Bala|Gorna Djumaya|Gorna Dzhumaya","Oblast","Province"
449,36,"BGR","Bulgaria",2,"Burgas","<U+0411><U+0443><U+0440><U+0433><U+0430><U+0441>","Bourgas","Oblast","Province"
450,36,"BGR","Bulgaria",3,"Dobrich","<U+0414><U+043E><U+0431><U+0440><U+0438><U+0447>","Tolbukhin","Oblast","Province"
451,36,"BGR","Bulgaria",4,"Gabrovo","<U+0413><U+0430><U+0431><U+0440><U+043E><U+0432><U+043E>","","Oblast","Province"
452,36,"BGR","Bulgaria",5,"Grad Sofiya","<U+0421><U+043E><U+0444><U+0438><U+044F>-<U+0433><U+0440><U+0430><U+0434>","","Oblast","Province"
453,36,"BGR","Bulgaria",6,"Haskovo","<U+0425><U+0430><U+0441><U+043A><U+043E><U+0432><U+043E>","Khaskovo","Oblast","Province"
454,36,"BGR","Bulgaria",7,"Kardzhali","<U+041A><U+044A><U+0440><U+0434><U+0436><U+0430><U+043B><U+0438><U+0439><U+0441><U+043A><U+0430>","Kurdjali|Kârdžali|Kirjali","Oblast","Province"
455,36,"BGR","Bulgaria",8,"Kyustendil","<U+041A><U+044E><U+0441><U+0442><U+0435><U+043D><U+0434><U+0438><U+043B>","Keustendil|Kjustendil","Oblast","Province"
456,36,"BGR","Bulgaria",9,"Lovech","<U+041B><U+043E><U+0432><U+0435><U+0447>","Lovec","Oblast","Province"
457,36,"BGR","Bulgaria",10,"Montana","<U+041C><U+043E><U+043D><U+0442><U+0430><U+043D><U+0430>","Mikhaylovgrad|Mihailovgrad","Oblast","Province"
458,36,"BGR","Bulgaria",11,"Pazardzhik","<U+041F><U+0430><U+0437><U+0430><U+0440><U+0434><U+0436><U+0438><U+043A>","Pazardjik|Tatar Pazardžik|Bazargic|Bazardzhik|Dobritch|Dobrici|Hagi Oglu","Oblast","Province"
459,36,"BGR","Bulgaria",12,"Pernik","<U+041F><U+0435><U+0440><U+043D><U+0438><U+043A>","","Oblast","Province"
460,36,"BGR","Bulgaria",13,"Pleven","<U+041F><U+043B><U+0435><U+0432><U+0435><U+043D><U+0441><U+043A><U+0430>","Plevila|Plevna|Plyeven","Oblast","Province"
461,36,"BGR","Bulgaria",14,"Plovdiv","<U+041F><U+043B><U+043E><U+0432><U+0434><U+0438><U+0432>","Philippopolis","Oblast","Province"
462,36,"BGR","Bulgaria",15,"Razgrad","<U+0420><U+0430><U+0437><U+0433><U+0440><U+0430><U+0434>","","Oblast","Province"
463,36,"BGR","Bulgaria",16,"Ruse","<U+0420><U+0443><U+0441><U+0435><U+043D><U+0441><U+043A><U+0430>","Russe|Rušcuk|Rustchuk","Oblast","Province"
464,36,"BGR","Bulgaria",17,"Shumen","<U+0428><U+0443><U+043C><U+0435><U+043D>","Kolarovgrad|Šumla|Šumen","Oblast","Province"
465,36,"BGR","Bulgaria",18,"Silistra","<U+0421><U+0438><U+043B><U+0438><U+0441><U+0442><U+0440><U+0430>","","Oblast","Province"
466,36,"BGR","Bulgaria",19,"Sliven","<U+0421><U+043B><U+0438><U+0432><U+0435><U+043D>","Slivno","Oblast","Province"
467,36,"BGR","Bulgaria",20,"Smolyan","<U+0421><U+043C><U+043E><U+043B><U+044F><U+043D>","Smoljan","Oblast","Province"
468,36,"BGR","Bulgaria",21,"Sofia","Sofija","Sofiya|Sofija","Oblast","Province"
469,36,"BGR","Bulgaria",22,"Stara Zagora","<U+0421><U+0442><U+0430><U+0440><U+0430> <U+0417><U+0430><U+0433><U+043E><U+0440><U+0430>","","Oblast","Province"
470,36,"BGR","Bulgaria",23,"Targovishte","<U+0422><U+044A><U+0440><U+0433><U+043E><U+0432><U+0438><U+0449><U+043A><U+0430>","Torgovishte|Tâgovište","Oblast","Province"
471,36,"BGR","Bulgaria",24,"Varna","<U+0412><U+0430><U+0440><U+043D><U+0430>","Stalin","Oblast","Province"
472,36,"BGR","Bulgaria",25,"Veliko Tarnovo","<U+0412><U+0435><U+043B><U+0438><U+043A><U+043E> <U+0422><U+044A><U+0440><U+043D><U+043E><U+0432><U+043E>","Veliko Turnovo|Gorna Oryahovitsa|Gorna Orjahovica|Turnovo|Tirnovo|Trnova","Oblast","Province"
473,36,"BGR","Bulgaria",26,"Vidin","<U+0412><U+0438><U+0434><U+0438><U+043D>","","Oblast","Province"
474,36,"BGR","Bulgaria",27,"Vratsa","<U+0412><U+0440><U+0430><U+0446><U+0430>","Vraca","Oblast","Province"
475,36,"BGR","Bulgaria",28,"Yambol","<U+042F><U+043C><U+0431><U+043E><U+043B>","Jambol|Jamboli","Oblast","Province"
